idx,feature
0,prs:1000pv
1,prs:1000q
2,prs:1000t
3,prs:1000u
4,prs:1000v
5,prs:1000z
6,prs:100pv
7,prs:100q
8,prs:100t
9,prs:100u
10,prs:100v
11,prs:100z
12,prs:150cc
13,prs:150pv
14,prs:150q
15,prs:150t
16,prs:150u
17,prs:150v
18,prs:150w
19,prs:150z
20,prs:200cc
21,prs:200pv
22,prs:200q
23,prs:200t
24,prs:200u
25,prs:200v
26,prs:200w
27,prs:200z
28,prs:250cc
29,prs:250pv
30,prs:250q
31,prs:250t
32,prs:250u
33,prs:250v
34,prs:250w
35,prs:250z
36,prs:300cc
37,prs:300pv
38,prs:300q
39,prs:300t
40,prs:300u
41,prs:300v
42,prs:300w
43,prs:300z
44,prs:400cc
45,prs:400pv
46,prs:400q
47,prs:400t
48,prs:400u
49,prs:400v
50,prs:400w
51,prs:400z
52,prs:500cc
53,prs:500pv
54,prs:500q
55,prs:500t
56,prs:500u
57,prs:500v
58,prs:500w
59,prs:500z
60,prs:50pv
61,prs:50q
62,prs:50t
63,prs:50u
64,prs:50v
65,prs:50z
66,prs:600cc
67,prs:600pv
68,prs:600q
69,prs:600t
70,prs:600u
71,prs:600v
72,prs:600w
73,prs:600z
74,prs:700cc
75,prs:700pv
76,prs:700q
77,prs:700t
78,prs:700u
79,prs:700v
80,prs:700w
81,prs:700z
82,prs:850cc
83,prs:850pv
84,prs:850q
85,prs:850t
86,prs:850u
87,prs:850v
88,prs:850w
89,prs:850z
90,prs:925cc
91,prs:925pv
92,prs:925q
93,prs:925t
94,prs:925u
95,prs:925v
96,prs:925w
97,prs:925z
98,sfc_regular:blh
99,sfc_regular:d2m
100,sfc_regular:flsr
101,sfc_regular:msl
102,sfc_regular:sst
103,sfc_regular:swh
104,sfc_regular:t2m
105,sfc_regular:u10
106,sfc_regular:v10
107,sfc_average:ewss
108,sfc_average:lgws
109,sfc_average:mgws
110,sfc_average:nsss
111,sfc_average:slhf
112,sfc_average:sshf
113,sfc_average:ssr
114,sfc_average:str
115,sfc_average:tp
116,time:hour_ratio
117,time:hour_ratio_cos
118,time:hour_ratio_sin
119,time:year_ratio
120,time:year_ratio_cos
121,time:year_ratio_sin
122,sfc_regular:lsm
123,sfc_regular:z
124,sfc_average:tisr
125,prev_prs:1000pv
126,prev_prs:1000q
127,prev_prs:1000t
128,prev_prs:1000u
129,prev_prs:1000v
130,prev_prs:1000z
131,prev_prs:100pv
132,prev_prs:100q
133,prev_prs:100t
134,prev_prs:100u
135,prev_prs:100v
136,prev_prs:100z
137,prev_prs:150cc
138,prev_prs:150pv
139,prev_prs:150q
140,prev_prs:150t
141,prev_prs:150u
142,prev_prs:150v
143,prev_prs:150w
144,prev_prs:150z
145,prev_prs:200cc
146,prev_prs:200pv
147,prev_prs:200q
148,prev_prs:200t
149,prev_prs:200u
150,prev_prs:200v
151,prev_prs:200w
152,prev_prs:200z
153,prev_prs:250cc
154,prev_prs:250pv
155,prev_prs:250q
156,prev_prs:250t
157,prev_prs:250u
158,prev_prs:250v
159,prev_prs:250w
160,prev_prs:250z
161,prev_prs:300cc
162,prev_prs:300pv
163,prev_prs:300q
164,prev_prs:300t
165,prev_prs:300u
166,prev_prs:300v
167,prev_prs:300w
168,prev_prs:300z
169,prev_prs:400cc
170,prev_prs:400pv
171,prev_prs:400q
172,prev_prs:400t
173,prev_prs:400u
174,prev_prs:400v
175,prev_prs:400w
176,prev_prs:400z
177,prev_prs:500cc
178,prev_prs:500pv
179,prev_prs:500q
180,prev_prs:500t
181,prev_prs:500u
182,prev_prs:500v
183,prev_prs:500w
184,prev_prs:500z
185,prev_prs:50pv
186,prev_prs:50q
187,prev_prs:50t
188,prev_prs:50u
189,prev_prs:50v
190,prev_prs:50z
191,prev_prs:600cc
192,prev_prs:600pv
193,prev_prs:600q
194,prev_prs:600t
195,prev_prs:600u
196,prev_prs:600v
197,prev_prs:600w
198,prev_prs:600z
199,prev_prs:700cc
200,prev_prs:700pv
201,prev_prs:700q
202,prev_prs:700t
203,prev_prs:700u
204,prev_prs:700v
205,prev_prs:700w
206,prev_prs:700z
207,prev_prs:850cc
208,prev_prs:850pv
209,prev_prs:850q
210,prev_prs:850t
211,prev_prs:850u
212,prev_prs:850v
213,prev_prs:850w
214,prev_prs:850z
215,prev_prs:925cc
216,prev_prs:925pv
217,prev_prs:925q
218,prev_prs:925t
219,prev_prs:925u
220,prev_prs:925v
221,prev_prs:925w
222,prev_prs:925z
223,prev_sfc_regular:blh
224,prev_sfc_regular:d2m
225,prev_sfc_regular:flsr
226,prev_sfc_regular:msl
227,prev_sfc_regular:sst
228,prev_sfc_regular:swh
229,prev_sfc_regular:t2m
230,prev_sfc_regular:u10
231,prev_sfc_regular:v10
232,prev_sfc_average:ewss
233,prev_sfc_average:lgws
234,prev_sfc_average:mgws
235,prev_sfc_average:nsss
236,prev_sfc_average:slhf
237,prev_sfc_average:sshf
238,prev_sfc_average:ssr
239,prev_sfc_average:str
240,prev_sfc_average:tp
241,prev_time:hour_ratio
242,prev_time:hour_ratio_cos
243,prev_time:hour_ratio_sin
244,prev_time:year_ratio
245,prev_time:year_ratio_cos
246,prev_time:year_ratio_sin
247,prev_sfc_average:tisr
248,graph_const_0
249,graph_const_1
250,graph_const_2
251,graph_const_3
252,graph_const_4
253,graph_const_5
254,graph_const_6
255,step
