variable,mean,std,min,max,median,kurtosis,skewness
1000cc,0.014971168,0.10118337,0.0,1.0,0.0,63.936188,7.827633380889893
1000pv,4.785769e-07,2.1961455e-06,-5.2044852e-05,0.00017096945,-7.2759576e-11,117.027916,7.595937252044678
1000q,0.013493661,0.0057598543,2.8880066e-07,0.03316709,0.016493997,-0.7174182,-0.8229039907455444
1000t,295.3644,8.258991,234.65916,324.4275,298.68896,4.0228786,-1.9138685464859009
1000u,-0.51387715,4.727026,-39.446884,41.42151,-0.3605652,0.74909616,0.012922422960400581
1000v,0.05939854,4.443536,-38.228943,42.62587,0.14128113,1.5844307,-0.13633161783218384
1000w,0.004177776,0.091290236,-6.3590727,3.480651,0.0008716583,24.228067,0.6465337872505188
1000z,984.221,530.5774,-6121.0547,4825.008,905.5913,2.107966,0.5988419651985168
100cc,0.03010677,0.13044104,0.0,1.0,0.0,29.364323,5.307608127593994
100pv,5.1857696e-06,4.236033e-06,-0.00010963631,0.00015951438,4.095782e-06,0.39850974,0.8272324204444885
100q,2.9037226e-06,8.667902e-07,-2.9187591e-05,2.287317e-05,2.8712539e-06,1.0187359,0.466092586517334
100t,199.54959,9.050639,180.86935,243.38062,196.34944,-0.4083345,0.8380850553512573
100u,4.151509,18.812077,-63.329727,83.24321,0.7810211,-0.55190873,0.41440096497535706
100v,-0.80344594,6.5402913,-55.6268,53.68033,-0.9033966,0.8462565,0.10966696590185165
100w,-0.0005978642,0.036685247,-7.125928,2.0328703,-0.00025057793,36.912766,-0.390763521194458
100z,161997.2,2100.8188,148098.38,166743.44,162559.94,4.2122188,-1.9902105331420898
150cc,0.1833218,0.3296205,0.0,1.0,0.0,0.7977731,1.5693494081497192
150pv,2.060318e-06,2.986369e-06,-3.2966913e-05,4.774799e-05,5.536176e-07,0.8423524,1.4579638242721558
150q,1.0012671e-05,5.9725494e-06,-7.590103e-05,0.00011921243,9.392702e-06,1.4268608,0.9812988638877869
150t,209.37744,5.2529755,196.22441,243.61484,207.32294,0.25586796,1.0967631340026855
150u,9.397847,23.728853,-52.8965,109.445694,4.9619446,-0.5388925,0.4761533737182617
150v,-0.979245,9.956487,-65.55667,74.08797,-1.2668915,0.7774482,0.22277960181236267
150w,-0.0057091787,0.09540666,-14.521637,2.7457142,-6.0081482e-05,60.677086,-2.7720892429351807
150z,138326.56,2696.7476,123355.25,142855.75,139441.5,3.04924,-1.876497745513916
200cc,0.20211114,0.3246544,0.0,1.0,0.0,0.25584412,1.3673336505889893
200pv,1.5229554e-06,2.607578e-06,-1.5042868e-05,2.9712279e-05,2.4827114e-07,1.9847531,1.787119746208191
200q,5.0045324e-05,3.6896596e-05,-0.0002241473,0.000702702,4.3957196e-05,0.28180432,0.729581356048584
200t,220.74052,3.0110474,196.60004,239.25777,220.72339,3.2916284,-0.7009451985359192
