variable,mean,std,min,max,median,kurtosis,skewness
blh,597.7674,421.7917,8.366208,6273.7197,547.5229,6.266324,1.6787023544311523
d2m,290.16684,10.728539,226.13571,303.8838,295.79126,2.645854,-1.734136700630188
flsr,-8.318312,3.212783,-12.865693,0.68544865,-9.8901615,1.1040058,1.433202862739563
lsm,0.33333242,0.45390177,0.0,1.0,0.0,-1.4525726,0.7014082074165344
msl,101177.11,720.53314,93213.56,106813.81,101056.69,2.5927029,0.8593313097953796
sst,299.13043,5.5880733,270.71387,311.8247,301.6416,4.7662077,-2.2105929851531982
swh,1.537192,0.9213244,0.0,17.09226,1.362033,7.6076775,1.8571996688842773
t2m,294.61832,9.425696,228.48935,317.57764,299.0,3.8812008,-1.916961431503296
u10,-0.4515597,4.2328143,-44.378418,41.116577,-0.38293457,0.7070186,0.057260219007730484
v10,0.0394818,3.9598749,-36.9283,40.92154,0.14141846,1.4491634,-0.15088698267936707
z,2232.304,4750.8755,-897.12646,40243.53,5.840332,10.563899,2.889927625656128
